CódigoItem,Descricao,Cidade Entrega,UF,Data Emissão NF,Valor
014102020,CMC-170 CPCMC-1,Sao Caetano Do,SP,2003-08-14,18422.86
09185020,LILC-180AP - FLCRC-1,Sao Caetano Do,SP,2003-08-14,13737.14
08712020,TMY 1503 D -> FTMW 1,Cambara,PR,2003-08-14,56152.38
013146020,CMC-170 CM --> DT DECMC-1,Rio Verde,GO,2003-08-15,11253.45
08387020,TMY 603 - FLTMW 6,Arapoti,PR,2003-08-18,29913.91
08417020,GILON 11000 (DT DE LINHA)GILON,Pirajui,SP,2003-08-19,11281.52
08417020,GILON 11000 (DT DE LINHA)GILON,Pirajui,SP,2003-08-19,11281.52
02382020,TMY 203 LIL - USTMW 2,Pirassununga,SP,2003-08-20,10720.00
08646020,VM-450 -> FL1VM-45,Ibiquera,BA,2003-08-20,17718.63
09359020,LOIC-1800 SUPER - MECFC-1,Auriflama,SP,2003-08-22,12606.11
08351020,LOIC-2000S -> FLCFC-2,Sao Mateus,ES,2003-08-28,20368.00
08340020,LOIC-1800 SUPERCFC-1,Nova Andradina,MS,2003-08-28,12504.12
08341020,LOIC-1800 SUPER -> FLCFC-1,Palmeira,PR,2003-09-03,12005.89
08417020,GILON 11000 (DT DE LINHA)GILON,Dourados,MS,2003-09-03,14803.81
08342020,LOIC-1300 SUPERCFC-1,Salvador Do Sul,RS,2003-09-08,10012.99
08417020,GILON 11000 (DT DE LINHA)GILON,Salvador Do Sul,RS,2003-09-08,14608.81
013026020,LILC-180AP - FLCRC-1,Juatuba,MG,2003-09-12,18609.41
02317020,LOIC-1800 -> FLCFC-1,Goiania,GO,2003-09-16,2680.00
08417020,GILON 11000 (DT DE LINHA)GILON,Paranaiguara,GO,2003-09-19,14833.42
08417020,GILON 11000 (DT DE LINHA)GILON,Pirajui,SP,2003-09-19,11908.39
08417020,GILON 11000 (DT DE LINHA)GILON,Pirajui,SP,2003-09-19,11908.39
08342020,LOIC-1300 SUPERCFC-1,Uberlandia,MG,2003-09-22,9960.41
08414020,VM-450 -> FLVM-45,Uberlandia,MG,2003-09-22,16461.84
08417020,GILON 11000 (DT DE LINHA)GILON,Auriflama,SP,2003-09-25,13506.55
08417020,GILON 11000 (DT DE LINHA)GILON,Agua Clara,MS,2003-09-29,14608.81
08350020,LOIC-2000S - MECFC-2,Tangara Serra,MT,2003-09-29,22232.77
08422020,GILON 18000HGILON,Sao Paulo,SP,2003-09-30,19350.67
013475020,LEC-608 TANDEN -> FL1LEC-6,Piracicaba,SP,2003-10-01,21446.86
08389020,TMY 603LIL - FLTMW 6,Quirinopolis,GO,2003-10-02,44411.43
08339020,LOIC-1800 SUPERCFC-1,Uberlandia,MG,2003-10-08,11612.32
08417020,GILON 11000 (DT DE LINHA)GILON,Agua Clara,MS,2003-10-14,14608.81
08646020,VM-450 -> FL1VM-45,Guaracai,SP,2003-10-15,10720.00
08339020,LOIC-1800 SUPERCFC-1,Palmeira,PR,2003-10-17,12121.26
08384020,TMY 353 - FLTMW 3,Passos,MG,2003-10-21,21789.17
08343020,LOIC-1800 SUPER (USADA)CFC-1,Bras. De Minas,MG,2003-10-30,8844.00
08340020,LOIC-1800 SUPERCFC-1,Matupa,MT,2003-11-10,11610.78
08340020,LOIC-1800 SUPERCFC-1,Pitanga,PR,2003-11-12,11610.78
08390020,TMY 753 - FLTMW 7,Uberaba,MG,2003-11-20,34457.15
08339020,LOIC-1800 SUPERCFC-1,Descalvado,SP,2003-11-24,10209.52
08425020,GILON 25000SGILON,Vila Bela,MT,2003-11-25,20149.52
08417020,GILON 11000 (DT DE LINHA)GILON,Eldorado Caraja,PA,2003-11-25,13272.38
08343020,LOIC-1800 SUPER (USADA)CFC-1,Sao Jose Do Cedr,SC,2003-11-26,8844.00
08340020,LOIC-1800 SUPERCFC-1,Sao Jose Do Cedr,SC,2003-11-28,12251.43
012189020,RY-110T - FLRW-11,Frutal,MG,2003-12-02,30628.57
08384020,TMY 353 - FLTMW 3,Alfenas,MG,2003-12-02,19091.81
014745020,VM-450VM-45,Birigui,SP,2003-12-03,19238.83
014102020,CMC-170 CPCMC-1,Jaragua,GO,2003-12-04,23036.87
08340020,LOIC-1800 SUPERCFC-1,Videira,SC,2003-12-15,11610.78
08340020,LOIC-1800 SUPERCFC-1,Penapolis,SP,2003-12-17,10413.72
08363020,PODA PASTO 2000PODA ,Uberaba,MG,2003-12-18,7146.67
08387020,TMY 603 - FLTMW 6,Arapoti,PR,2003-12-19,27565.72
014745020,VM-450VM-45,Casemiro De Abr,RJ,2003-12-26,17342.92
