CódigoItem,Descricao,Cidade Entrega,UF,Data Emissão NF,Quantidade,Valor
14,Tipo_H_6-10,UBERABA,MG,2003-11-20,1,26357.1452
1,Tipo_A,DESCALVADO,SP,2003-11-24,1,7809.5242
19,Tipo_K,VILA BELA,MT,2003-11-25,1,15412.8799
19,Tipo_K,ELDORADO CARAJA,PA,2003-11-25,1,10152.3831
1,Tipo_A,SAO JOSE DO CEDR,SC,2003-11-26,1,6765
1,Tipo_A,SAO JOSE DO CEDR,SC,2003-11-28,1,9371.4315
7,Tipo_F_0-11,FRUTAL,MG,2003-12-02,1,23428.5726
13,Tipo_H_2-5,ALFENAS,MG,2003-12-02,1,14603.8105
17,Tipo_J_2-8,BIRIGUI,SP,2003-12-03,1,14716.2694
1,Tipo_A,JARAGUA,GO,2003-12-04,1,17621.4884
1,Tipo_A,VIDEIRA,SC,2003-12-15,1,8881.3831
1,Tipo_A,PENAPOLIS,SP,2003-12-17,1,7965.7178
12,Tipo_G,UBERABA,MG,2003-12-18,1,5466.6694
14,Tipo_H_6-10,ARAPOTI,PR,2003-12-19,1,21085.7178
17,Tipo_J_2-8,CASEMIRO DE ABR,RJ,2003-12-26,1,13266.042
1,Tipo_A,,MT,2003-12-29,1,12495.242
1,Tipo_A,ARAPOTI,PR,2003-12-30,1,8444.4379
19,Tipo_K,ARAPOTI,PR,2003-12-30,1,10744.7388
1,Tipo_A,MUNDO NOVO,BA,2004-01-06,1,7419.0484
1,Tipo_A,SALVADOR DO SUL,RS,2004-01-15,1,7659.1936
19,Tipo_K,SALVADOR DO SUL,RS,2004-01-15,1,11174.6484
1,Tipo_A,S.J. DO CEDRO,SC,2004-01-16,1,7503
1,Tipo_A,ITURAMA,MG,2004-01-20,1,7769.4016
1,Tipo_A,CAMPO GRANDE,MS,2004-01-21,1,14855.0749
1,Tipo_A,,GO,2004-01-26,1,10283.6692
1,Tipo_A,ESPANHA,EX,2004-01-30,1,27275.906
1,Tipo_A,SAO CARLOS,SP,2004-01-30,1,2050
1,Tipo_A,CAMPO GRANDE,MS,2004-01-30,1,10858.071
1,Tipo_A,GOIANIA,GO,2004-02-02,1,9507.2481
1,Tipo_A,PRESIDENTE PRUD,SP,2004-02-02,1,8556.5237
1,Tipo_A,CARAMBEI,PR,2004-02-04,1,9485.4607
14,Tipo_H_6-10,CARAMBEI,PR,2004-02-04,1,32518.3587
1,Tipo_A,PRATA,MG,2004-02-10,1,10023.6513
1,Tipo_A,JARAGUARI,MS,2004-02-12,1,8627.8268
1,Tipo_A,ITANHANDU,MG,2004-02-19,1,8885.5159
1,Tipo_A,JOAO PINHEIRO,MG,2004-03-02,1,9507.2481
9,Tipo_F_15-20,GOIANIA,GO,2004-03-02,1,45555.5592
14,Tipo_H_6-10,CASTRO,PR,2004-03-05,1,23184.2126
1,Tipo_A,BURI,SP,2004-03-11,1,10893.7205
1,Tipo_A,LUZIANIA,GO,2004-03-13,1,16241.5473
1,Tipo_A,JOAO PINHEIRO,MG,2004-03-17,1,12280.197
1,Tipo_A,SAO CAETANO DO S,SP,2004-03-17,1,7129.244
17,Tipo_J_2-8,ARANDU,SP,2004-03-26,1,16043.4804
1,Tipo_A,LLLLLLLLLL,SP,2004-03-31,1,13468.6025
1,Tipo_A,ARARAQUARA,SP,2004-04-05,1,11289.8584
1,Tipo_A,ORLANDIA,SP,2004-04-08,1,3961.3544
7,Tipo_F_0-11,ORLANDIA,SP,2004-04-08,1,37236.7166
7,Tipo_F_0-11,ITUIUTABA,MG,2004-04-13,1,39956.8575
1,Tipo_A,ARAPOTI,PR,2004-04-15,1,9705.315
1,Tipo_A,ITAI,SP,2004-04-15,1,4375.315
1,Tipo_A,ARARAQUARA,SP,2004-04-16,1,16931.6142
13,Tipo_H_2-5,CASEMIRO DE ABR,RJ,2004-04-16,1,19400.7285
1,Tipo_A,ALVORADA,TO,2004-04-22,1,9703.3347
9,Tipo_F_15-20,BARRA DO GARCAS,MT,2004-04-22,1,60080.6497
9,Tipo_F_15-20,BARRA DO GARCAS,MT,2004-04-22,1,60080.6497
14,Tipo_H_6-10,SAO BENTO ABADE,MG,2004-04-30,1,24938.6969
