CódigoItem,Descricao,Cidade Entrega,UF,Data Emissão NF,Quantidade,Valor
17,Tipo_J_2-8,ASSIS,SP,2017-01-09,1,18409
7,Tipo_F_0-11,PRESIDENTE ALVES,SP,2017-07-10,1,71955
8,Tipo_F_0-11_Z,CACERES,MT,2020-05-26,1,87740
14,Tipo_H_6-10,PARANAPANEMA,SP,2020-09-09,1,50020
1,Tipo_A,ESTRELA,RS,2015-04-08,1,11157.61700000
1,Tipo_A,ESTRELA,RS,2015-04-08,1,11157.61700000
7,Tipo_F_0-11,ESTRELA,RS,2015-04-15,1,49090.75960000
17,Tipo_J_2-8,ESTRELA,RS,2015-05-13,1,23705.38000000
17,Tipo_J_2-8,ESTRELA,RS,2015-06-15,1,24438.54200000
13,Tipo_H_2-5,ESTRELA,RS,2015-06-15,1,29833.77300000
2,Tipo_B,ESTRELA,RS,2015-06-26,1,10632.65300000
14,Tipo_H_6-10,ESTRELA,RS,2015-07-28,1,45686.77150000
14,Tipo_H_6-10,ESTRELA,RS,2015-09-03,1,49765.39000000
17,Tipo_J_2-8,ESTRELA,RS,2015-09-09,1,23530.72000000
14,Tipo_H_6-10,ESTRELA,RS,2015-11-16,1,45687.12000000
18,Tipo_J_9,ESTRELA,RS,2015-11-23,1,32670.99350000
2,Tipo_B,ESTRELA,RS,2015-12-17,1,43091
1,Tipo_A,ESTRELA,RS,2016-04-20,1,19730.28650000
2,Tipo_B,ESTRELA,RS,2016-10-14,1,10496
18,Tipo_J_9,ESTRELA,RS,2016-10-25,1,35695.66600000
1,Tipo_A,ESTRELA,RS,2016-11-29,1,20361.31750000
1,Tipo_A,ESTRELA,RS,2017-01-18,1,20131.73800000
1,Tipo_A,ESTRELA,RS,2017-03-10,1,20131.73800000
13,Tipo_H_2-5,ESTRELA,RS,2017-06-05,1,24697.84240000
17,Tipo_J_2-8,ESTRELA,RS,2017-09-19,1,28134.61000000
14,Tipo_H_6-10,ESTRELA,RS,2017-09-19,1,56971.55000000
17,Tipo_J_2-8,ESTRELA,RS,2017-12-08,1,27504.07100000
18,Tipo_J_9,ESTRELA,RS,2017-12-14,1,39597.84100000
8,Tipo_F_0-11_Z,ESTRELA,RS,2018-02-02,1,47698.17000000
14,Tipo_H_6-10,ESTRELA,RS,2018-08-31,1,44232.03000000
17,Tipo_J_2-8,ESTRELA,RS,2018-09-20,1,28450.92500000
18,Tipo_J_9,ESTRELA,RS,2018-11-28,1,38184.12000000
1,Tipo_A,ESTRELA,RS,2018-12-20,1,20309.92400000
17,Tipo_J_2-8,ESTRELA,RS,2019-09-17,1,17322.50000000
14,Tipo_H_6-10,ESTRELA,RS,2019-11-29,1,49200
17,Tipo_J_2-8,ESTRELA,RS,2020-03-06,1,24910.08300000
18,Tipo_J_9,ESTRELA,RS,2020-04-27,1,36106.65000000
18,Tipo_J_9,ESTRELA,RS,2020-05-29,1,31690.54000000
18,Tipo_J_9,ESTRELA,RS,2020-05-29,1,32513
18,Tipo_J_9,ESTRELA,RS,2020-06-10,1,49335.71000000
1,Tipo_A,ESTRELA,RS,2020-06-26,1,14307.72900000
18,Tipo_J_9,ESTRELA,RS,2020-08-10,1,32267
1,Tipo_A,ESTRELA,RS,2020-08-17,1,15439.98500000
18,Tipo_J_9,ESTRELA,RS,2020-09-23,1,37933.93390000
18,Tipo_J_9,ESTRELA,RS,2020-09-30,1,33595.40000000
18,Tipo_J_9,ESTRELA,RS,2020-10-29,1,32251.83000000
1,Tipo_A,ESTRELA,RS,2020-12-03,1,21346.03500000
13,Tipo_H_2-5,SANTO AUGUSTO,RS,2016-07-29,1,46207
2,Tipo_B,SANTO AUGUSTO,RS,2016-11-09,1,25844.35000000
2,Tipo_B,SANTO AUGUSTO,RS,2017-05-25,1,30709
13,Tipo_H_2-5,CONCORDIA,SC,2019-06-14,1,42866.73000000
17,Tipo_J_2-8,CONCORDIA,SC,2019-09-05,1,18635.73000000
17,Tipo_J_2-8,CONCORDIA,SC,2019-11-12,1,24422.94970000
1,Tipo_A,RIO VERDE,GO,2019-05-24,1,14735.40000000
1,Tipo_A,RIO VERDE,GO,2019-05-24,1,16564
4,Tipo_D,RIO VERDE,GO,2020-05-26,1,26355.21000000
13,Tipo_H_2-5,CASTELO,ES,2015-07-02,1,31734
13,Tipo_H_2-5,CASTELO,ES,2015-07-02,1,31734
14,Tipo_H_6-10,UNAI,MG,2015-09-04,1,45715
18,Tipo_J_9,GUARATINGUETÁ,SP,2017-03-08,1,42230
13,Tipo_H_2-5,CARLOS BARBOSA,RS,2015-04-14,1,27060
13,Tipo_H_2-5,CARLOS BARBOSA,RS,2018-06-29,1,29429.80000000
17,Tipo_J_2-8,CARLOS BARBOSA,RS,2019-11-14,1,24678.02300000
13,Tipo_H_2-5,CARLOS BARBOSA,RS,2018-11-01,1,32243.63000000
4,Tipo_D,MARÍLIA,SP,2016-06-27,1,22884.56000000
4,Tipo_D,MARÍLIA,SP,2016-08-04,1,22345.51250000
4,Tipo_D,MARÍLIA,SP,2016-09-15,1,22345.51250000
4,Tipo_D,MARÍLIA,SP,2016-12-23,1,29399.87000000
4,Tipo_D,MARÍLIA,SP,2017-06-28,1,15359.42000000
4,Tipo_D,MARÍLIA,SP,2020-03-31,1,13981
7,Tipo_F_0-11,BEBEDOURO,SP,2015-06-02,1,32513
7,Tipo_F_0-11,BEBEDOURO,SP,2015-06-15,1,29405.20000000
